iter	RMSE
0	0.9221436504
1	0.8638596674
2	0.8098078659
3	0.7600489547
4	0.7136498014
5	0.669919496
6	0.6296743438
7	0.5919443363
8	0.5572103147
9	0.5249478856
10	0.4950901064
11	0.4676908935
12	0.4422333313
13	0.4186842492
14	0.3972217685
15	0.3775048111
16	0.3592135054
17	0.3423952184
18	0.3266850741
19	0.3127166958
20	0.30000437
21	0.2884710435
22	0.2776744887
23	0.2679933215
24	0.2595161878
25	0.2515623712
26	0.2444856989
27	0.2379576472
28	0.2321120725
29	0.2267635391
30	0.2221325552
31	0.217963481
32	0.2142156473
33	0.2109838026
34	0.2080105197
35	0.2053559597
36	0.2030021843
37	0.2010160091
38	0.1991355769
39	0.1975637182
40	0.1962131289
41	0.1949890212
42	0.1938211378
43	0.1927911182
44	0.1919318309
45	0.1911770557
46	0.190456658
47	0.1898485294
48	0.1892979156
49	0.1888332633
50	0.1883902135
51	0.1880115629
52	0.1876636336
53	0.1873798027
54	0.1870941292
55	0.1868620953
56	0.1866891092
57	0.186510676
58	0.1863402528
59	0.1862087353
60	0.1860848474
61	0.1859809613
62	0.18586547
63	0.1857645609
64	0.1856859656
65	0.1855954555
66	0.1855142671
67	0.1854565753
68	0.1853560704
69	0.1853047729
70	0.185237304
71	0.185160948
72	0.1851043619
73	0.1850625001
74	0.1850300804
75	0.1849865383
76	0.1849365557
77	0.1848975114
78	0.1848558256
79	0.184820025
80	0.1847948663
81	0.1847647099
82	0.1847249841
83	0.1846851951
84	0.1846624955
85	0.1846108894
86	0.1845857444
87	0.1845406444
88	0.1844971942
89	0.1844805345
90	0.1844597918
91	0.1844350542
92	0.1844100509
93	0.184392568
94	0.1843643555
95	0.1843337736
96	0.18429525
97	0.1842779968
98	0.1842544639
99	0.1842379959
100	0.184223068
101	0.1841974296
102	0.184173892
103	0.1841498666
104	0.1841351533
105	0.1841197437
106	0.1840882782
107	0.1840497423
108	0.1840286946
109	0.1840136733
110	0.1840066175
111	0.1839975411
112	0.183969196
113	0.1839432865
114	0.183923552
115	0.1839044938
116	0.183881338
117	0.18384781
118	0.1838205371
119	0.1837980034
120	0.1837662504
121	0.1837249417
122	0.1836994587
123	0.1836824782
124	0.1836667436
125	0.1836346843
126	0.1835902308
127	0.1835790423
128	0.1835636367
129	0.1835563729
130	0.1835241605
131	0.1834977085
132	0.183460053
133	0.1834508851
134	0.1834354472
135	0.1834051072
136	0.1833689542
137	0.1833569705
138	0.1833175142
139	0.1833097092
140	0.1832964579
141	0.1832767633
142	0.1832404927
143	0.1832260497
144	0.1832191113
145	0.1831736005
146	0.1831506721
147	0.1831301952
148	0.1831075368
149	0.1830777263
150	0.1830533739
151	0.1830359626
152	0.1830265865
153	0.1830024589
154	0.1829811476
155	0.1829675488
156	0.1829572913
157	0.1829249004
158	0.1828891503
159	0.182865108
160	0.1828486125
161	0.1828117884
162	0.1827642751
163	0.1827339833
164	0.1826977707
165	0.182667077
166	0.1826308824
167	0.1826010158
168	0.1825636195
169	0.1825497045
170	0.1825174164
171	0.1824822976
172	0.182449354
173	0.1824277289
174	0.1824114587
175	0.182391313
176	0.1823638697
177	0.1823434874
178	0.1823315909
179	0.1823019604
180	0.1822769873
181	0.1822504153
182	0.1822090465
183	0.1822001559
184	0.1821790477
185	0.1821577715
186	0.1821464601
187	0.1821104104
188	0.1820870971
189	0.1820595119
190	0.1820476571
191	0.1820180755
192	0.1819954638
193	0.1819712642
194	0.1819624637
195	0.1819474823
196	0.1819357924
197	0.1819264488
198	0.1818862613
199	0.1818624611
200	0.1818345221
201	0.1818281418
202	0.1818083776
203	0.1817742768
204	0.1817517124
205	0.1817347462
206	0.1817188654
207	0.1817053746
208	0.1816990091
209	0.1816753923
210	0.1816498459
211	0.1816413803
212	0.1816269243
213	0.1816201864
214	0.1815986232
215	0.1815659138
216	0.1815352681
217	0.1815110637
218	0.181492188
219	0.1814549466
220	0.1814266317
221	0.1814027555
222	0.1813731906
223	0.1813496404
224	0.1813219223
225	0.1812860489
226	0.1812761894
227	0.1812481815
228	0.1812314314
229	0.1811947446
230	0.1811791703
231	0.1811622811
232	0.1811555357
233	0.1811459519
234	0.1811285633
235	0.1811067859
236	0.1810781272
237	0.1810701657
238	0.1810335221
239	0.1810245153
240	0.1810024857
241	0.1809847448
242	0.1809464833
243	0.18093737
244	0.1809105243
245	0.1808897764
246	0.1808754672
247	0.180858819
248	0.1808410574
249	0.1808270144
250	0.1808168304
251	0.1808077539
252	0.180795773
253	0.1807898505
254	0.1807635912
255	0.1807390355
256	0.1807247894
257	0.180708245
258	0.1806929132
259	0.1806877416
260	0.1806728228
261	0.1806580121
262	0.1806470676
263	0.1806370611
264	0.1806269089
265	0.1806121524
266	0.1805880309
267	0.1805827865
268	0.1805617482
269	0.1805429434
270	0.1805346833
271	0.1805186745
272	0.1805039805
273	0.1804726666
274	0.1804671431
275	0.1804388742
276	0.1804228908
277	0.1804093982
278	0.1803935674
279	0.1803795158
280	0.1803724468
281	0.1803575718
282	0.1803371395
283	0.1803314273
284	0.1803160217
285	0.1803071086
286	0.1803029954
287	0.1802868313
288	0.1802560462
289	0.1802498885
290	0.1802363434
291	0.1802212489
292	0.180195913
293	0.1801745227
294	0.1801652996
295	0.1801547565
296	0.1801437856
297	0.1801247641
298	0.1801085544
299	0.1800920631
300	0.180078719
301	0.1800603919
302	0.1800516448
303	0.1800445122
304	0.1800322724
305	0.1800229024
306	0.1800099413
307	0.1800006038
308	0.1799885718
309	0.1799587682
310	0.1799473226
311	0.1799408676
312	0.1799199107
313	0.1799147314
314	0.1799063514
315	0.1798952543
316	0.1798774676
317	0.1798567341
318	0.1798490191
319	0.1798146754
320	0.1798079304
321	0.179802511
322	0.1797807737
323	0.1797723145
324	0.1797599867
325	0.1797478364
326	0.1797442066
327	0.1797347989
328	0.1797197679
329	0.1797124501
330	0.1797009225
331	0.179694907
332	0.1796853747
333	0.1796755018
334	0.1796606412
335	0.1796563145
336	0.1796520237
337	0.1796347377
338	0.1796314387
339	0.1796221688
340	0.1796029893
341	0.1795755664
342	0.1795611131
343	0.1795360002
344	0.1795097193
345	0.1795052229
346	0.1794971579
347	0.1794746295
348	0.1794511121
349	0.179439406
350	0.1794162765
351	0.1794082213
352	0.1793812982
353	0.1793716991
354	0.1793614464
355	0.1793475504
356	0.1793260359
357	0.1793168139
358	0.1792916901
359	0.1792884155
360	0.1792716806
361	0.1792638655
362	0.1792607466
363	0.179253419
364	0.1792448752
365	0.1792311562
366	0.1792096445
367	0.1791890703
368	0.1791842731
369	0.1791633422
370	0.179160541
371	0.1791530619
372	0.1791340937
373	0.1791233568
374	0.1791123731
375	0.179098856
376	0.1790911563
377	0.1790838297
378	0.1790706208
379	0.1790620221
380	0.1790567031
381	0.1790312027
382	0.1790127293
383	0.1790017288
384	0.1789795115
385	0.1789566196
386	0.1789452481
387	0.1789335683
388	0.1789216517
389	0.1789152703
390	0.1788939758
391	0.1788815034
392	0.1788759452
393	0.1788538066
394	0.1788463605
395	0.1788251397
396	0.1788111034
397	0.1787978927
398	0.1787926594
399	0.1787856792
400	0.1787652328
401	0.1787627487
402	0.1787518349
403	0.1787494208
404	0.1787387095
405	0.1787343283
406	0.1787155245
407	0.1787090063
408	0.1787033385
409	0.1786832311
410	0.1786645267
411	0.1786534791
412	0.1786316245
413	0.1786240562
414	0.1786179194
415	0.1786012319
416	0.1785877836
417	0.1785691541
418	0.1785561842
419	0.1785391496
420	0.1785243901
421	0.1785144783
422	0.1785118915
423	0.1784954179
424	0.1784886657
425	0.1784763352
426	0.1784675877
427	0.1784494145
428	0.1784447364
429	0.1784334118
430	0.1784286961
431	0.1784118691
432	0.1784002981
433	0.1783924526
434	0.1783827767
435	0.1783716289
436	0.1783618777
437	0.1783444246
438	0.178337419
439	0.1783233656
440	0.1783125664
441	0.1783032626
442	0.1782965853
443	0.1782814172
444	0.1782732887
445	0.1782541638
446	0.1782478633
447	0.1782454878
448	0.1782417818
449	0.1782345152
450	0.1782307818
451	0.1782220357
452	0.178215336
453	0.1781982676
454	0.1781813642
455	0.1781760365
456	0.1781648205
457	0.178157045
458	0.1781427047
459	0.1781343611
460	0.1781245182
461	0.1781080213
462	0.1780857827
463	0.178079073
464	0.1780733983
465	0.1780657421
466	0.1780580625
467	0.1780556786
468	0.1780431409
469	0.1780383174
470	0.1780348258
471	0.1780213613
472	0.1780123618
473	0.1780004378
474	0.1779818992
475	0.177976323
476	0.1779558294
477	0.1779492769
478	0.1779396369
479	0.1779274199
480	0.1779228058
481	0.1779149211
482	0.1779091005
483	0.1778997626
484	0.1778863029
485	0.1778773836
486	0.1778717419
487	0.17785685
488	0.1778519605
489	0.1778468258
490	0.1778410356
491	0.1778317156
492	0.1778273606
493	0.177822699
494	0.1778080994
495	0.1777882632
496	0.1777737763
497	0.1777592178
498	0.177757047
499	0.1777441283
500	0.1777321446
501	0.1777288006
502	0.1777124044
503	0.1777002282
504	0.1776846216
505	0.1776768515
506	0.1776734601
507	0.1776560903
508	0.1776473151
509	0.1776363267
510	0.1776287275
511	0.1776199904
512	0.1776131639
513	0.1776060962
514	0.1775911028
515	0.1775773482
516	0.1775639076
517	0.177557885
518	0.1775489863
519	0.1775450707
520	0.1775191787
521	0.1775083854
522	0.1775037366
523	0.1774884132
524	0.177482453
525	0.1774702541
526	0.1774619307
527	0.1774597091
528	0.1774471547
529	0.1774370983
530	0.1774216268
531	0.1774137775
532	0.1774104498
533	0.177401734
534	0.1773920052
535	0.1773810947
536	0.177368089
537	0.1773648095
538	0.1773604224
539	0.1773558725
540	0.1773508303
541	0.1773435935
542	0.1773257973
543	0.1773194781
544	0.1773073171
545	0.1773054759
546	0.1773029548
547	0.1772909081
548	0.1772741003
549	0.1772722059
550	0.1772525413
551	0.1772485783
552	0.1772429843
553	0.1772385708
554	0.1772268862
555	0.1772166792
556	0.1772008671
557	0.1771953475
558	0.1771856768
559	0.1771808291
560	0.1771750933
561	0.1771696089
562	0.1771646759
563	0.1771589056
564	0.1771535855
565	0.1771364009
566	0.177122406
567	0.1771126367
568	0.1771021351
569	0.1770970116
570	0.1770864744
571	0.1770784151
572	0.1770718205
573	0.1770616499
574	0.1770515741
575	0.1770498501
576	0.1770378163
577	0.1770207233
578	0.1770166468
579	0.177010623
580	0.177005271
581	0.1769902777
582	0.1769839693
583	0.1769788075
584	0.1769714793
585	0.1769660807
586	0.1769611396
587	0.1769511897
588	0.1769492568
589	0.1769422229
590	0.176932877
591	0.1769294084
592	0.1769245925
593	0.1769088639
594	0.1769016146
595	0.1768854055
596	0.1768783771
597	0.1768663305
598	0.1768558827
599	0.1768438283
600	0.1768395531
601	0.1768355003
602	0.1768325536
603	0.1768230822
604	0.1768208501
605	0.1768155886
606	0.1768057847
607	0.1768006931
608	0.1767992471
609	0.1767932187
610	0.1767880445
611	0.1767823969
612	0.1767784357
613	0.1767613805
614	0.1767575029
615	0.176745537
616	0.1767336229
617	0.1767272639
618	0.1767226578
619	0.1767165698
620	0.1767091161
621	0.176706245
622	0.1767006214
623	0.176692928
624	0.1766879823
625	0.1766815336
626	0.1766758469
627	0.1766654225
628	0.1766588232
629	0.1766528564
630	0.1766415884
631	0.1766365645
632	0.1766237518
633	0.1766203729
634	0.176616709
635	0.1766058595
636	0.1765922729
637	0.1765797153
638	0.1765760113
639	0.176569571
640	0.1765636296
641	0.1765596579
642	0.1765553537
643	0.1765523039
644	0.1765454495
645	0.1765362788
646	0.1765328423
647	0.1765236217
648	0.1765201139
649	0.1765165325
650	0.1765114146
651	0.1765067078
652	0.1765019399
653	0.1764900713
654	0.1764863696
655	0.1764816921
656	0.1764733713
657	0.1764649423
658	0.1764597794
659	0.1764570585
660	0.1764522683
661	0.1764473635
662	0.1764422833
663	0.1764385472
664	0.1764324542
665	0.1764222252
666	0.1764194715
667	0.1764149925
668	0.1764036865
669	0.1763951781
670	0.1763815513
671	0.1763752552
672	0.1763679128
673	0.1763651796
674	0.1763598948
675	0.1763534006
676	0.1763430331
