iter	Passed	Remaining
0	53	52983
1	59	29443
2	64	21374
3	69	17207
4	73	14672
5	78	12990
6	83	11786
7	87	10898
8	94	10425
9	99	9882
10	105	9447
11	110	9093
12	116	8826
13	122	8646
14	129	8497
15	134	8284
16	139	8074
17	144	7867
18	149	7707
19	154	7562
20	158	7395
21	163	7264
22	167	7124
23	171	6990
24	176	6869
25	180	6759
26	184	6652
27	188	6556
28	192	6461
29	196	6368
30	201	6283
31	205	6203
32	209	6125
33	213	6054
34	217	5991
35	221	5928
36	225	5868
37	229	5817
38	233	5762
39	238	5712
40	242	5668
41	248	5678
42	253	5643
43	258	5617
44	263	5601
45	270	5614
46	274	5574
47	279	5543
48	283	5506
49	287	5467
50	292	5434
51	296	5400
52	300	5364
53	304	5332
54	308	5303
55	312	5272
56	316	5242
57	321	5215
58	325	5186
59	329	5156
60	333	5129
61	337	5102
62	341	5077
63	345	5051
64	349	5028
65	353	5004
66	357	4980
67	361	4960
68	366	4938
69	370	4917
70	374	4896
71	378	4875
72	382	4853
73	386	4833
74	390	4816
75	394	4796
76	398	4777
77	402	4762
78	409	4768
79	414	4761
80	418	4748
81	423	4744
82	428	4734
83	434	4737
84	438	4725
85	443	4709
86	447	4691
87	451	4678
88	455	4662
89	459	4645
90	463	4631
91	467	4615
92	471	4600
93	475	4584
94	480	4573
95	484	4558
96	488	4545
97	492	4532
98	496	4518
99	500	4504
100	504	4491
101	508	4478
102	512	4465
103	516	4452
104	521	4441
105	525	4428
106	528	4414
107	533	4402
108	536	4386
109	540	4374
110	544	4364
111	549	4354
112	553	4343
113	557	4331
114	561	4321
115	565	4310
116	569	4299
117	573	4288
118	580	4301
119	586	4297
120	590	4291
121	595	4285
122	600	4280
123	606	4288
124	612	4286
125	617	4282
126	622	4275
127	627	4272
128	632	4267
129	637	4263
130	642	4261
131	648	4261
132	654	4264
133	658	4254
134	662	4244
135	666	4235
136	671	4228
137	675	4218
138	679	4208
139	684	4201
140	688	4191
141	692	4181
142	696	4171
143	700	4163
144	704	4153
145	708	4143
146	712	4136
147	716	4126
148	720	4117
149	725	4109
150	729	4100
151	733	4091
152	737	4082
153	743	4085
154	748	4083
155	754	4084
156	760	4085
157	765	4079
158	769	4071
159	773	4062
160	778	4055
161	782	4047
162	786	4039
163	790	4031
164	794	4022
165	798	4013
166	802	4003
167	806	3994
168	810	3986
169	814	3978
170	818	3969
171	822	3961
172	827	3954
173	831	3946
174	835	3937
175	839	3929
176	843	3921
177	847	3912
178	851	3904
179	855	3898
180	859	3891
181	863	3882
182	868	3875
183	871	3866
184	875	3858
185	880	3851
186	884	3845
187	888	3837
188	892	3830
189	898	3831
190	903	3827
191	909	3826
192	914	3823
193	920	3822
194	924	3815
195	928	3808
196	932	3801
197	936	3793
198	940	3786
199	945	3780
200	949	3772
201	952	3764
202	957	3757
203	961	3750
204	965	3743
205	969	3735
206	973	3729
207	977	3722
208	981	3714
209	985	3708
210	989	3701
211	993	3694
212	998	3689
213	1002	3681
214	1006	3674
215	1010	3667
216	1014	3661
217	1018	3655
218	1023	3648
219	1027	3642
220	1031	3635
221	1035	3629
222	1040	3624
223	1044	3617
224	1048	3610
225	1052	3604
226	1058	3605
227	1063	3602
228	1068	3598
229	1075	3600
230	1079	3594
231	1083	3587
232	1088	3582
233	1092	3575
234	1096	3568
235	1100	3562
236	1104	3556
237	1109	3551
238	1113	3544
239	1117	3537
240	1121	3531
241	1125	3525
242	1129	3518
243	1133	3512
244	1137	3505
245	1141	3498
246	1145	3492
247	1149	3486
248	1153	3479
249	1158	3474
